core_pdb_id,nearest_train_pdb_id,max_ligand_tanimoto
2y5h,2jkh,0.7631578947368421
4de3,3g35,0.76
2r9w,2r9x,0.7592592592592593
3b68,3b67,0.7575757575757576
3ivg,3ivx,0.7536231884057971
3cj4,3cj5,0.75
3coz,3cow,0.75
2qbp,2nt7,0.7471264367816092
2al5,1my4,0.7446808510638298
3f3c,1usi,0.7428571428571429
2qbq,2qbs,0.7428571428571429
1nvq,1nvr,0.7380952380952381
4agn,4agm,0.7377049180327869
3fv2,3fvn,0.7368421052631579
3up2,3uod,0.7321428571428571
2w66,2vc9,0.7291666666666666
3b5r,3b66,0.7222222222222222
4eo8,4eo6,0.7164179104477612
3nx7,1rmz,0.7142857142857143
2qnq,2pqz,0.7111111111111111
1oyt,2cn0,0.7105263157894737
3gbb,3fvn,0.7090909090909091
1a30,3g19,0.7083333333333334
1owh,1owe,0.7
4agq,4ago,0.7
4f9w,4f9y,0.6956521739130435
3rr4,4pum,0.6956521739130435
4cra,4crf,0.6951219512195121
4djv,4djw,0.6949152542372882
4j3l,4j22,0.6933333333333334
3uo4,3uod,0.6909090909090909
2qbr,2h4k,0.6909090909090909
1k1i,1k1l,0.6904761904761905
3ao4,3ao2,0.6875
4eky,4el5,0.6875
4m0y,4m12,0.6833333333333333
3rlr,3rlq,0.6833333333333333
3arv,3arw,0.6785714285714286
3wz8,3wz6,0.6779661016949152
2wvt,1uwu,0.6774193548387096
4gkm,4ij1,0.6764705882352942
1r5y,1s39,0.6756756756756757
4agp,4agm,0.6716417910447762
2zcq,2zcs,0.6666666666666666
4abg,4abh,0.6666666666666666
3gy4,1bty,0.6666666666666666
4llx,2qfo,0.6666666666666666
2w4x,1ax0,0.66
3ozt,3ozr,0.6455696202531646
3zsx,4ceb,0.6444444444444445
4de2,3g35,0.6440677966101694
2xbv,2xc4,0.6428571428571429
2vvn,1hp5,0.64
3oe5,3ozr,0.6375
3gnw,3hkw,0.6371681415929203
4owm,1u1w,0.6363636363636364
3l7b,3l7a,0.6363636363636364
3zt2,3zt3,0.6333333333333333
4x6p,4x6n,0.6320754716981132
3b65,3b66,0.625
4ciw,1v1j,0.625
4u4s,4u4x,0.62
3u5j,3u5l,0.6181818181818182
3g2n,3g2j,0.6170212765957447
4j21,4iue,0.6153846153846154
3lka,4ruz,0.6111111111111112
4crc,4y8x,0.61
4kzq,4der,0.6046511627906976
1z6e,2ra0,0.6020408163265306
1z95,3b66,0.6
3ozs,3ozr,0.6
2brb,2brm,0.6
4tmn,6cpa,0.5972222222222222
1ydr,1q8w,0.5964912280701754
3qgy,3qgw,0.5915492957746479
1ydt,1yds,0.5873015873015873
2weg,2weh,0.5862068965517241
4ty7,4ty6,0.5824175824175825
3ge7,4leq,0.5813953488372093
3oe4,3ozr,0.5795454545454546
3fcq,1oxr,0.5789473684210527
3u8k,3u8l,0.5769230769230769
2xii,2zx8,0.5735294117647058
4msn,4lm1,0.5714285714285714
3ehy,1zs0,0.5660377358490566
2xnb,2xmy,0.5641025641025641
1s38,1s39,0.5609756097560976
1z9g,1zdp,0.56
1sqa,1sqo,0.5588235294117647
2zb1,3d83,0.55
4ddk,4ahr,0.55
1pxn,1pxp,0.5483870967741935
2vw5,1yet,0.5420560747663551
1bzc,1bzj,0.5344827586206896
5a7b,4agm,0.5333333333333333
2hb1,2h4k,0.5319148936170213
2vkm,3ckp,0.5294117647058824
3utu,2zgx,0.5242718446601942
3mss,3q44,0.5217391304347826
5tmn,8cpa,0.5205479452054794
4k18,4k0y,0.52
3dx2,3dx3,0.5172413793103449
3kgp,1utj,0.5172413793103449
3n86,1v1j,0.5172413793103449
1lpg,1lpz,0.5164835164835165
4e6q,4e6d,0.5131578947368421
2xdl,3n7h,0.5106382978723404
4gid,2p4j,0.51
3n76,1v1j,0.5084745762711864
4e5w,4e6d,0.5058823529411764
3kr8,3c4h,0.5
4lzs,4lyw,0.5
2p15,1jgl,0.4935064935064935
5c1w,5c2a,0.4897959183673469
5c2h,5c2a,0.4864864864864865
3e92,3iph,0.4861111111111111
2zy1,2fzc,0.4772727272727273
2wnc,2arm,0.47692307692307695
3r88,4n8q,0.475
3u8n,3u8l,0.47368421052631576
4jxs,1xgi,0.47368421052631576
3e93,3d83,0.46938775510204084
4j28,4pee,0.46551724137931033
4pcs,4pee,0.46296296296296297
4de1,3g35,0.46153846153846156
3uri,1gvx,0.45985401459854014
2br1,2brm,0.45454545454545453
3bv9,1n51,0.45217391304347826
4cr9,4llp,0.43902439024390244
3dx1,1drj,0.4375
5c28,5c2a,0.42857142857142855
4ddh,3ml2,0.4264705882352941
3jya,1a9q,0.425
4mgd,1ai7,0.4230769230769231
4kz6,1j37,0.42105263157894735
3gr2,3g2y,0.41818181818181815
1q8u,1q8w,0.417910447761194
3bgz,3c2r,0.4166666666666667
2v00,1s39,0.41304347826086957
4bkt,4w9d,0.40963855421686746
1q8t,4gih,0.40625
3gc5,4leq,0.4044943820224719
3jvs,3f3t,0.3974358974358974
3zdg,3zdh,0.39622641509433965
4kzu,3ebo,0.3958333333333333
1mq6,1mq5,0.3939393939393939
3gv9,1c5c,0.39215686274509803
1vso,1ftm,0.390625
4mrw,3p9t,0.3902439024390244
2pog,4deu,0.38333333333333336
5aba,4agm,0.38028169014084506
2v7a,4app,0.37962962962962965
3b27,2xdx,0.37735849056603776
4jia,3f8c,0.375
1yc1,1yc4,0.3670886075949367
4k77,3b4p,0.35714285714285715
5dwr,4n6z,0.35555555555555557
4dli,2v57,0.3541666666666667
4ogj,2ayr,0.35
2wtv,3uod,0.35
2fxs,2za0,0.3472222222222222
4qac,2qfo,0.3448275862068966
3k5v,1jsv,0.34328358208955223
3rsx,2v57,0.34146341463414637
4jfs,1sv3,0.3404255319148936
4ih5,4gu9,0.33962264150943394
3fur,4rqv,0.3382352941176471
2fvd,2xc0,0.33663366336633666
4ea2,1qbq,0.3333333333333333
3g0w,2ihq,0.3333333333333333
3jvr,4zae,0.3333333333333333
4hge,4kao,0.32941176470588235
2p4y,3h1x,0.32323232323232326
1gpn,2rd6,0.32051282051282054
4mrz,1pxo,0.3181818181818182
2c3i,3d83,0.3157894736842105
4ih7,4k7o,0.3125
3g31,1j37,0.3103448275862069
3e5a,4x5r,0.3063063063063063
2qe4,4deu,0.3055555555555556
4wiv,4tu4,0.30120481927710846
1e66,3hmp,0.2972972972972973
3acw,2vo5,0.2923076923076923
1h22,5ct2,0.2857142857142857
1h23,5ct2,0.2857142857142857
3ebp,3ebo,0.2857142857142857
3uuo,3eqr,0.28421052631578947
4qd6,1d6w,0.2815533980582524
4msc,3mdz,0.2786885245901639
3ui7,4q4r,0.2777777777777778
4rfm,4qge,0.2719298245614035
3pyy,4j93,0.2714285714285714
3arp,1n5r,0.26582278481012656
2yki,4e4n,0.26262626262626265
3udh,3zv7,0.25396825396825395
3b1m,4tqn,0.2524271844660194
4mme,1aid,0.24324324324324326
3g2z,1pzo,0.23636363636363636
2xys,2vo5,0.22988505747126436
3ary,4y59,0.22058823529411764
3myg,1yc4,0.21782178217821782
1gpk,2rd6,0.21176470588235294
2x00,1fkb,0.2085889570552147
